   13  501 1051  118 BENZENE ACETONE Mueller E., Stage H. (1961) Dargestellt am Beispiel des Siedeverhaltens von Fettsäuren, 1-117, 1961 
  362.15   .10133   .26000   .93800
  356.65   .10133   .37300   .95700
  353.15   .10133   .48100   .96600
  352.15   .10133   .57300   .97100
  351.65   .10133   .69900   .97700
  351.15   .10133   .79300   .98400
  351.15   .10133   .90600   .98900
  350.15   .10133  1.00000  1.00000
   29 1501 1051  106 TETRACHLOROMETHANE ACETONE BACHMAN K.C.,SIMONS E.L., IND.ENG.CHEM.44,202(1952).
  304.44   .04000   .00000   .00000
  304.40   .04000   .00600   .00600
  304.38   .04000   .02050   .02100
  304.35   .04000   .03200   .03200
  304.40   .04000   .03850   .03850
  304.37   .04000   .04150   .04150
  304.40   .04000   .04500   .04450
  304.39   .04000   .04900   .04850
  304.42   .04000   .05300   .05300
  304.42   .04000   .06600   .06400
  304.43   .04000   .09150   .08650
  304.48   .04000   .13500   .12400
  304.67   .04000   .21200   .18100
  304.68   .04000   .23250   .19700
  305.05   .04000   .28350   .23300
  305.04   .04000   .29900   .24350
  305.36   .04000   .34450   .26650
  305.89   .04000   .43700   .32150
  306.33   .04000   .48500   .35700
  306.48   .04000   .51500   .36950
  306.51   .04000   .50650   .36300
  307.35   .04000   .60100   .42450
  307.48   .04000   .61750   .42550
  308.61   .04000   .68900   .47250
  309.95   .04000   .76550   .53000
  311.75   .04000   .83400   .59850
  313.73   .04000   .88800   .67000
  317.10   .04000   .94900   .79800
  321.92   .04000  1.00000  1.00000
   17  501 1523  239 BENZENE 1 CANJAR L.N.,HORNI E.C.,ROTHFUS R.R., IND.ENG.CHEM. 48,427(1956).
  356.62   .10133   .00000   .00000
  356.29   .10133   .08470   .09480
  356.02   .10133   .15270   .16840
  355.78   .10133   .21640   .23580
  355.48   .10133   .29730   .32030
